Year,Countries,Countries with ETVI,ETVI Mean,ETVI Std,E_dim Mean,E_dim Std,S_dim Mean,S_dim Std,A_dim Mean,A_dim Std
2010,183,183,24.220208661439298,14.21623697767525,26.433096808115902,23.74530049317958,33.284341037929394,12.298220226629894,66.8364456686516,22.008297749907225
2011,184,184,24.581454314836098,14.561475198549328,28.050575693706122,25.612876505914155,32.782060219637536,12.13824997264154,65.68451137702597,22.4462724924054
2012,185,185,24.659952460481765,14.414736394032062,27.12868382409042,25.085935389590272,33.02544872470186,11.752562294706612,64.77978128077795,22.33145043312615
2013,188,188,23.791420997856065,14.754122059160693,25.730829653787747,24.088810202556076,32.4937600146784,11.50041235511058,65.17618315256401,22.62404345656055
2014,192,192,23.82414230137394,14.414230021187857,24.707846538770045,23.70113019308608,32.80551520909845,12.502173584842822,63.57818068818767,22.31883681672488
2015,203,203,23.152506631493722,14.054996816467748,23.206188884565993,21.74950932328287,35.40017264012502,14.517113049832417,65.69949635138721,22.627379869903248
2016,193,193,22.684660201921016,13.571077213815014,21.719077390715857,20.690631494422007,34.50644781987158,14.079151469107643,64.38018889159432,22.450800145240404
2017,198,198,22.674518135314866,13.688945668871204,23.09907344921549,21.354868944368857,34.14052953115271,14.275618619261074,65.02607526054592,22.90235460749187
2018,190,190,23.546245003219454,13.869852693710095,24.685195346944646,23.513600988161944,33.887318164876824,14.39031138136243,64.2219674194056,23.223423035375017
2019,191,191,23.264642226858278,13.654359230072554,23.94180538151469,21.873459371140182,32.6082772270642,13.966898105933163,63.256404163681005,23.02931675142042
2020,185,185,22.864902123182976,13.620241469402561,21.721875815055693,20.09125824472888,33.566058325279805,13.94120523888654,60.60747340515044,24.237692460877447
2021,165,165,24.786441975895677,13.004590475318999,25.410174058174402,22.028786188082186,32.923895088214174,13.652678541098002,61.213644610792294,23.98367496527039
2022,144,144,23.736175697654573,12.640089666793944,23.093258966456126,17.776733604602768,29.381100273654624,13.822803670505015,60.266117020748474,25.62685470952821
2023,21,21,14.232017199395703,10.881421374187413,8.283777635112234,11.359709958711203,26.257012461199913,9.717543299197855,59.6295272069836,22.54657803921871
